   species temperature    gender resprate
1        1         1 female      1.9
2        1         1 female      1.8
3        1         1 female      1.6
4        1         1 female      1.4
5        1         1   male      1.8
6        1         1   male      1.7
7        1         1   male      1.4
8        1         1   male      1.5
9        1         2 female      2.3
10       1         2 female      2.1
11       1         2 female      2.0
12       1         2 female      2.6
13       1         2   male      2.4
14       1         2   male      2.7
15       1         2   male      2.4
16       1         2   male      2.6
17       1         3 female      2.9
18       1         3 female      2.8
19       1         3 female      3.4
20       1         3 female      3.2
21       1         3   male      3.0
22       1         3   male      3.1
23       1         3   male      3.0
24       1         3   male      2.7
25       2         1 female      2.1
26       2         1 female      2.0
27       2         1 female      1.8
28       2         1 female      2.2
29       2         1   male      2.3
30       2         1   male      2.0
31       2         1   male      1.9
32       2         1   male      1.7
33       2         2 female      2.4
34       2         2 female      2.6
35       2         2 female      2.7
36       2         2 female      2.3
37       2         2   male      2.0
38       2         2   male      2.3
39       2         2   male      2.1
40       2         2   male      2.4
41       2         3 female      3.6
42       2         3 female      3.1
43       2         3 female      3.4
44       2         3 female      3.2
45       2         3   male      3.1
46       2         3   male      3.0
47       2         3   male      2.8
48       2         3   male      3.2
49       3         1 female      1.1
50       3         1 female      1.2
51       3         1 female      1.0
52       3         1 female      1.4
53       3         1   male      1.4
54       3         1   male      1.0
55       3         1   male      1.3
56       3         1   male      1.2
57       3         2 female      2.0
58       3         2 female      2.1
59       3         2 female      1.9
60       3         2 female      2.2
61       3         2   male      2.4
62       3         2   male      2.6
63       3         2   male      2.3
64       3         2   male      2.2
65       3         3 female      2.9
66       3         3 female      2.8
67       3         3 female      3.0
68       3         3 female      3.1
69       3         3   male      3.2
70       3         3   male      2.9
71       3         3   male      2.8
72       3         3   male      2.9
