block  nh4 salt dung yield
    1 1 1 1  19.2
    1 2 1 1  20.6
    1 1 2 1  18.9
    1 2 2 1  25.3
    1 1 1 2  20.8
    1 2 1 2  26.8
    1 1 2 2  22.2
    1 2 2 2  27.7
    2 1 1 1  15.5
    2 2 1 1  16.9
    2 1 2 1  20.2
    2 2 2 1  27.6
    2 1 1 2  18.5
    2 2 1 2  17.8
    2 1 2 2  18.6
    2 2 2 2  28.6
    3 1 1 1  17.0
    3 2 1 1  19.5
    3 1 2 1  16.7
    3 2 2 1  29.1
    3 1 1 2  20.1
    3 2 1 2  18.6
    3 1 2 2  22.3
    3 2 2 2  28.7
    4 1 1 1  11.7
    4 2 1 1  21.9
    4 1 2 1  20.7
    4 2 2 1  25.4
    4 1 1 2  19.2
    4 2 1 2  19.0
    4 1 2 2  21.1
    4 2 2 2  28.5
