LATITUDE	LONGITUDE	DEPTHFT	ARSENIC
23.7887	90.6522	60	331
23.7886	90.6523	45	302
23.788	90.6517	45	193
23.7893	90.6525	125	232
23.792	90.614	150	19
23.7817	90.625	60	33
23.7816	90.625	55	2
23.7819	90.6248	46	1
23.7822	90.6246	60	23
23.7816	90.6246	60	111
23.7797	90.618	30	92
23.7795	90.6179	45	114
23.7796	90.6175	40	74
23.7651	90.6176	130	276
23.7654	90.6168	45	35
23.7655	90.6164	65	65
23.7654	90.6156	40	15
23.7925	90.6099	120	27
23.7939	90.6099	120	25
23.7932	90.6102	60	12
23.7945	90.6096	110	21
23.797	90.6107	80	1
23.7967	90.6108	110	1
23.7965	90.6109	120	1
23.7963	90.6111	150	1
23.7961	90.611	120	1
23.797	90.6081	65	122
23.7973	90.6081	75	135
23.7966	90.6087	80	112
23.7958	90.6081	95	2
23.7942	90.6088	95	1
23.7878	90.6009	120	1
23.7881	90.6011	120	1
23.7881	90.6008	120	1
23.7982	90.6107	150	3
23.7989	90.6099	35	6
23.8	90.61	165	1
23.8002	90.6109	170	2
23.7882	90.6451	35	75
23.7873	90.6453	100	176
23.7857	90.645	70	131
23.7856	90.6455	45	111
23.7855	90.6451	35	160
23.7826	90.6367	50	194
23.7824	90.6365	70	178
23.7804	90.6384	46	333
23.7805	90.6383	45	207
23.7801	90.6381	75	134
23.7801	90.6379	46	302
23.78	90.6376	45	379
23.7848	90.6148	45	45
23.785	90.6158	45	45
23.785	90.6158	45	50
23.7847	90.6158	45	35
23.7845	90.6157	45	35
23.7809	90.6164	45	1
23.7804	90.6163	60	121
23.7806	90.6168	45	78
23.7768	90.6163	25	58
23.7768	90.6164	120	109
23.7774	90.6178	32	51
23.778	90.6186	32	54
23.7773	90.6158	45	1
23.7773	90.6156	40	2
23.7773	90.6154	40	1
23.7772	90.6153	60	2
23.7772	90.6153	70	1
23.7763	90.6164	36	44
23.7753	90.6128	55	58
23.7753	90.6128	35	30
23.7761	90.6125	55	6
23.7759	90.6124	35	3
23.7762	90.6124	120	18
23.7736	90.6044	40	12
23.7732	90.6033	45	29
23.772	90.6031	45	6
23.7722	90.6043	65	67
23.7719	90.6029	45	10
23.7718	90.6027	40	1
23.7715	90.6032	45	25
23.7713	90.6026	55	44
23.7697	90.6022	45	4
23.7669	90.6036	36	89
23.7999	90.6218	60	44
