Wt	fdP2	fd34	fdH1	fdH2	mdP2	md34	LMpc
52.8	12.8	11.7	10.9	12.6	41.5	44.3	48
53.4	14.1	11.6	17.2	12.9	43.3	46.9	53.4
54.3	9.4	10.9	10.4	11.1	46	43.4	53.8
55.8	9.2	9.2	10.2	20	55.2	54.9	63
58	11.3	10.4	10.1	10.7	47.1	55.5	60.3
61.4	26.7	27.2	18.1	18.3	40.7	45.2	37.1
62	12.2	10.7	9.3	15	51.2	57	59.1
62.2	13.1	11.3	18.8	11.7	62.2	45.3	56
64	11	12.7	9.6	16	48.9	47.8	61.3
64	11.8	14.9	14.1	12	48	52.3	53.8
64	9.7	8.5	19.2	18.7	64	49.9	64.4
65.7	18.5	22.8	16.3	16	59.5	53.6	50.5
68.8	8.7	8.6	9.3	11.2	46.4	47.3	56.2
71.6	17	17.1	14	11.9	52.5	51	56.3
74	16.1	16.7	16.1	17.1	43.5	47.1	53.5
74.7	9.4	9.8	9.4	10.7	57.4	49.5	59
77.9	9.2	9.2	9.5	11.5	60.2	49.5	58.5
78.6	8.1	8.9	10.1	10.3	61.1	45.6	59.8
79.3	10	9.2	14.6	10.1	64.6	55.3	63.7
79.4	13.3	13.2	12.1	12.8	47.5	45.6	44.6
79.8	9	9.2	25.7	57.2	54.7	52.4	60.4
80.8	11.4	11.6	12.9	13.2	46.1	56.9	51.5
81.7	11.7	15.8	11.9	16.5	52.3	47.1	49.8
81.7	9.5	9.7	10.2	10.1	46.5	49.5	61.1
83.7	14.7	13.4	11.4	10.5	55.4	49.6	51.4
84.2	11.2	10.5	12.5	11	52.3	54	54.9
86	18	19	15.2	16.8	63	58.2	42.3
86.1	13.1	14.7	12.6	12.5	62.3	61.5	51.7
86.3	12.7	12.9	12.5	12.9	54.7	50.6	59.5
86.8	13	12.6	15.5	13	54	58.7	49.7
87	11.4	12.6	11	12.1	52.1	65.2	52
87.4	16.5	16.7	18.5	15.6	55.1	55.8	52.8
89.5	12	11.3	10.1	10.6	52.4	54.3	50
90.2	13.9	13.7	12.1	11.9	53.8	50.1	47.8
92	11	11.3	11.6	10.2	59.5	63.9	53
92.4	30.2	26.3	20.9	20.7	46.7	51.6	41.7
92.8	16.6	15.5	18.4	15	59.4	55.3	46.8
93.3	11.1	12.8	12.2	11.9	55.5	61.4	48.1
96.1	15.8	18.8	14	13.2	64.7	62.5	48.7
96.3	10.4	10.3	10.2	10.4	60	53.7	59.6

