Obs	Weight	Length	Width
104	5.9	8.8	1.4
105	32	14.7	2
106	40	16	2.4
107	51.5	17.2	2.6
108	70	18.5	2.9
109	100	19.2	3.3
110	78	19.4	3.1
111	80	20.2	3.1
112	85	20.8	3
113	85	21	2.8
114	110	22.5	3.6
115	115	22.5	3.3
116	125	22.5	3.7
117	130	22.8	3.5
118	120	23.5	3.4
119	120	23.5	3.5
120	130	23.5	3.5
121	135	23.5	3.5
122	110	23.5	4
123	130	24	3.6
124	150	24	3.6
125	145	24.2	3.6
126	150	24.5	3.6
127	170	25	3.7
128	225	25.5	3.7
129	145	25.5	3.8
130	188	26.2	4.2
131	180	26.5	3.7
132	197	27	4.2
133	218	28	4.1
134	300	28.7	5.1
135	260	28.9	4.3
136	265	28.9	4.3
137	250	28.9	4.6
138	250	29.4	4.2
139	300	30.1	4.6
140	320	31.6	4.8
141	514	34	6
142	556	36.5	6.4
143	840	37.3	7.8
144	685	39	6.9
145	700	38.3	6.7
146	700	39.4	6.3
147	690	39.3	6.4
148	900	41.4	7.5
149	650	41.4	6
150	820	41.3	7.4
151	850	42.3	7.1
152	900	42.5	7.2
153	1015	42.4	7.5
154	820	42.5	6.6
155	1100	44.6	6.9
156	1000	45.2	7.3
157	1100	45.5	7.4
158	1000	46	8.1
159	1000	46.6	7.6

