Treatment Weight
DOC 336
DOC 346
DOC 269
DOC 346
DOC 323
DOC 309
DOC 322
DOC 316
DOC 300
DOC 309
DOC 276
DOC 306
DOC 310
DOC 302
DOC 269
DOC 311
WKY 328
WKY 315
WKY 343
WKY 368
WKY 353
WKY 374
WKY 356
WKY 339
WKY 343
WKY 343
WKY 334
WKY 333
WKY 313
WKY 333
WKY 372
DOC_Ca 304
DOC_Ca 292
DOC_Ca 299
DOC_Ca 293
DOC_Ca 277
DOC_Ca 303
DOC_Ca 303
DOC_Ca 320
DOC_Ca 324
DOC_Ca 340
DOC_Ca 299
DOC_Ca 279
DOC_Ca 305
DOC_Ca 290
DOC_Ca 300
DOC_Ca 312
WKY_Ca 342
WKY_Ca 284
WKY_Ca 334
WKY_Ca 348
WKY_Ca 315
WKY_Ca 313
WKY_Ca 301
WKY_Ca 354
WKY_Ca 346
WKY_Ca 319
WKY_Ca 289
WKY_Ca 322
WKY_Ca 308
WKY_Ca 325
