watertemp  initial final 
        1     27.2  32.6 
        1     32.0  36.6 
        1     33.0  37.7 
        1     26.8  31.0 
        1     28.6  33.8 
        1     26.8  31.7 
        1     26.5  30.7 
        1     26.8  30.4 
        2     28.6  35.2 
        2     22.4  29.1 
        2     23.2  28.9 
        2     24.4  302. 
        2     29.3  35.0 
        2     21.8  27.0 
        2     30.3  36.4 
        2     24.3  30.5 
        3     20.4  24.6 
        3     19.6  23.4 
        3     25.1  30.3 
        3     18.1  21.8 
