Tag	Strain	Sex	Age	Agewks	ME
204	3	1	227	32.43	123.22
204	3	1	234	33.43	125.56
204	3	1	241	34.43	122.94
204	3	1	248	35.43	123
204	3	1	255	36.43	117.83
204	3	1	262	37.43	107.25
204	3	1	269	38.43	108.58
204	3	1	276	39.43	108.79
204	3	1	283	40.43	91.15
204	3	1	290	41.43	103.05
204	3	1	297	42.43	104.08
204	3	1	304	43.43	101.38
204	3	1	311	44.43	108.39
204	3	1	318	45.43	105.42
204	3	1	325	46.43	148.74
204	3	1	332	47.43	150.79
204	3	1	339	48.43	177.95
204	3	1	346	49.43	138.33
204	3	1	353	50.43	200.73
204	3	1	361	51.57	178.06
204	3	1	367	52.43	205.28
204	3	1	374	53.43	221.3
204	3	1	381	54.43	163.91
204	3	1	388	55.43	154.77
204	3	1	395	56.43	251.86
204	3	1	402	57.43	258.23
204	3	1	409	58.43	226.38
204	3	1	416	59.43	205.92
204	3	1	423	60.43	239.57
204	3	1	430	61.43	226.46
204	3	1	437	62.43	225.79
204	3	1	444	63.43	163.51
204	3	1	451	64.43	169.15
204	3	1	458	65.43	160.76
204	3	1	465	66.43	175.54
204	3	1	472	67.43	248.19
204	3	1	479	68.43	224.83
204	3	1	486	69.43	189.56
204	3	1	493	70.43	189.06
204	3	1	500	71.43	186.34
204	3	1	507	72.43	161.93
204	3	1	516	73.71	188.49
204	3	1	521	74.43	118.61
204	3	1	529	75.57	138.85
204	3	1	535	76.43	140.96
204	3	1	543	77.57	141.16
204	3	1	549	78.43	147.57
204	3	1	556	79.43	141.82
204	3	1	563	80.43	130.56
204	3	1	570	81.43	127.41
204	3	1	577	82.43	137.94
204	3	1	586	83.71	120.61
204	3	1	591	84.43	138.5
204	3	1	598	85.43	122.18
204	3	1	605	86.43	118.41
207	3	1	224	32	133.05
207	3	1	231	33	131.76
207	3	1	238	34	137.45
207	3	1	245	35	128.62
207	3	1	252	36	129.41
207	3	1	259	37	129.24
207	3	1	266	38	131.05
207	3	1	273	39	124.71
207	3	1	280	40	119.93
207	3	1	287	41	117.09
207	3	1	294	42	126.43
207	3	1	301	43	135.19
207	3	1	308	44	138.11
207	3	1	315	45	67.87
207	3	1	322	46	138.33
207	3	1	329	47	170.45
207	3	1	336	48	168.7
207	3	1	343	49	138.56
207	3	1	350	50	132.75
207	3	1	358	51.14	100.96
207	3	1	364	52	177.44
207	3	1	371	53	212.64
207	3	1	378	54	205.68
207	3	1	385	55	214.56
207	3	1	392	56	207.87
207	3	1	399	57	214.94
207	3	1	406	58	213.86
207	3	1	413	59	211.3
207	3	1	420	60	234.54
207	3	1	427	61	240.15
207	3	1	434	62	201.81
207	3	1	441	63	181.76
207	3	1	448	64	146.33
207	3	1	455	65	206.39
207	3	1	462	66	189.58
207	3	1	469	67	223.74
207	3	1	476	68	209.74
207	3	1	483	69	213.08
207	3	1	490	70	227.56
207	3	1	497	71	191.84
207	3	1	504	72	171.05
207	3	1	513	73.29	208.73
207	3	1	518	74	161.31
207	3	1	526	75.14	185.42
207	3	1	532	76	186.48
207	3	1	540	77.14	175.21
207	3	1	546	78	208.06
207	3	1	553	79	167.79
207	3	1	560	80	152.79
207	3	1	567	81	153.5
207	3	1	574	82	149.64
207	3	1	583	83.29	147.4
207	3	1	588	84	126.92
207	3	1	595	85	125.58
