lab  batch   conc
L1   B1  0.29
L1   B1  0.33
L1   B2  0.33
L1   B2  0.32
L1   B3  0.34
L1   B3  0.31
L2   B1  0.40
L2   B1  0.40
L2   B2  0.43
L2   B2  0.36
L2   B3  0.42
L2   B3  0.40
L3   B1  0.40
L3   B1  0.35
L3   B2  0.38
L3   B2  0.32
L3   B3  0.38
L3   B3  0.33
L4   B1  0.90
L4   B1  1.30
L4   B2  0.90
L4   B2  1.10
L4   B3  0.90
L4   B3  0.90
L5   B1  0.44
L5   B1  0.44
L5   B2  0.45
L5   B2  0.45
L5   B3  0.42
L5   B3  0.46
L6   B1  0.38
L6   B1  0.39
L6   B2  0.40
L6   B2  0.46
L6   B3  0.72
L6   B3  0.79
