fert seed plot yield
1.000000000e+000 1.000000000e+000 1.000000000e+000 1.571000004e+001
1.000000000e+000 2.000000000e+000 1.000000000e+000 1.620999908e+001
1.000000000e+000 3.000000000e+000 1.000000000e+000 1.731999969e+001
1.000000000e+000 4.000000000e+000 1.000000000e+000 1.754000092e+001
1.000000000e+000 1.000000000e+000 2.000000000e+000 1.602000046e+001
1.000000000e+000 2.000000000e+000 2.000000000e+000 1.636000061e+001
1.000000000e+000 3.000000000e+000 2.000000000e+000 1.703000069e+001
1.000000000e+000 4.000000000e+000 2.000000000e+000 1.781999969e+001
1.000000000e+000 1.000000000e+000 3.000000000e+000 1.589999962e+001
1.000000000e+000 2.000000000e+000 3.000000000e+000 1.632999992e+001
1.000000000e+000 3.000000000e+000 3.000000000e+000 1.721999931e+001
1.000000000e+000 4.000000000e+000 3.000000000e+000 1.762000084e+001
2.000000000e+000 1.000000000e+000 1.000000000e+000 1.782999992e+001
2.000000000e+000 2.000000000e+000 1.000000000e+000 1.768000031e+001
2.000000000e+000 3.000000000e+000 1.000000000e+000 1.795000076e+001
2.000000000e+000 4.000000000e+000 1.000000000e+000 1.807999992e+001
2.000000000e+000 1.000000000e+000 2.000000000e+000 1.745000076e+001
2.000000000e+000 2.000000000e+000 2.000000000e+000 1.770000076e+001
2.000000000e+000 3.000000000e+000 2.000000000e+000 1.801000023e+001
2.000000000e+000 4.000000000e+000 2.000000000e+000 1.855999947e+001
2.000000000e+000 1.000000000e+000 3.000000000e+000 1.695999908e+001
2.000000000e+000 2.000000000e+000 3.000000000e+000 1.752000046e+001
2.000000000e+000 3.000000000e+000 3.000000000e+000 1.840999985e+001
2.000000000e+000 4.000000000e+000 3.000000000e+000 1.889999962e+001
3.000000000e+000 1.000000000e+000 1.000000000e+000 1.477999973e+001
3.000000000e+000 2.000000000e+000 1.000000000e+000 1.580000019e+001
3.000000000e+000 3.000000000e+000 1.000000000e+000 1.620999908e+001
3.000000000e+000 4.000000000e+000 1.000000000e+000 1.698999977e+001
3.000000000e+000 1.000000000e+000 2.000000000e+000 1.502999973e+001
3.000000000e+000 2.000000000e+000 2.000000000e+000 1.561999989e+001
3.000000000e+000 3.000000000e+000 2.000000000e+000 1.644000053e+001
3.000000000e+000 4.000000000e+000 2.000000000e+000 1.638999939e+001
3.000000000e+000 1.000000000e+000 3.000000000e+000 1.463000011e+001
3.000000000e+000 2.000000000e+000 3.000000000e+000 1.577000046e+001
3.000000000e+000 3.000000000e+000 3.000000000e+000 1.631999969e+001
3.000000000e+000 4.000000000e+000 3.000000000e+000 1.702000046e+001
