roll   length   faults   
1      551      6  
17     543     8       
2      651      4      
18     842     9    
3      832      17     
19     905     23    
4      375      9      
20     542     9    
5      715      14     
21     522     6    
6      868      8      
22     122     1    
7      271      5      
23     657     9    
8      630      7      
24     170     4    
9      491      7      
25     738     9    
10     372      7      
26     371     14    
11     645      6      
27     735     17    
12     441      8      
28     749     10    
13     895      28     
29     495     7    
14     458      4      
30     716     3    
15     642      10     
31     952     9    
16     492      4      
32     417     2    
