Line	Rep	d11	d12	d13	d14	d15	d16	d17	d18	d19	d20	d22	d25	d29
DS_S	a	0	0	1	1	2	4	5	6	8	11	13	14	14
DS_S	b	0	0	1	2	2	4	5	6	7	8	9	13	13
DS_S	c	0	0	0	0	3	4	6	10	11	11	11	11	11
DS_S	d	0	0	0	0	0	4	6	8	9	9	10	11	11
DS_SM	a	0	0	0	1	3	6	9	10	11	13	17	17	17
DS_SM	b	0	0	0	2	2	4	7	8	11	13	14	14	16
DS_SM	c	0	0	0	1	2	4	8	9	9	10	14	15	15
DS_SM	d	0	0	1	3	4	6	7	10	10	11	13	13	13
DS_M	a	0	0	0	0	1	1	1	2	4	4	4	5	5
DS_M	b	0	0	0	1	1	2	2	2	3	3	3	4	4
DS_M	c	0	0	0	0	1	2	4	4	4	4	4	5	5
DS_M	d	0	0	0	0	2	3	4	4	4	4	5	5	5
DS_ML	a	0	0	0	2	3	5	5	7	7	8	9	11	11
DS_ML	b	0	0	0	2	2	3	5	5	7	7	7	9	9
DS_ML	c	0	1	2	3	3	6	8	9	9	9	9	10	10
DS_ML	d	0	0	0	1	2	4	6	6	7	7	8	11	11
DS_L	a	0	0	1	2	4	7	9	10	15	19	20	20	20
DS_L	b	0	1	1	3	4	5	10	12	12	12	14	14	14
DS_L	c	0	0	0	0	3	6	10	10	11	11	11	11	11
DS_L	d	0	0	0	0	3	5	7	8	8	8	10	10	10
Prestige	a	0	1	3	7	13	17	20	20	20	20	20	20	20
Prestige	b	0	2	3	6	12	16	19	20	20	20	20	19	19
Prestige	c	0	1	3	5	10	14	17	17	18	18	18	18	18
Prestige	d	0	1	2	4	10	14	20	20	20	20	20	20	20
Huia	a	0	0	0	1	2	5	6	7	8	8	9	9	9
Huia	b	0	0	0	2	3	5	6	6	8	8	9	10	10
Huia	c	0	0	1	2	3	4	5	5	5	5	6	6	6
Huia	d	0	0	0	1	1	3	4	4	4	4	4	6	6
Nu_Siral	a	0	0	2	3	6	13	19	19	19	19	19	20	20
Nu_Siral	b	0	1	2	4	7	15	19	19	19	19	19	19	19
Nu_Siral	c	0	0	1	3	4	10	19	19	19	19	19	19	19
Nu_Siral	d	0	0	1	3	7	12	18	18	19	19	19	20	20
Haifa	a	0	1	4	7	12	17	18	19	20	20	20	20	20
Haifa	b	0	2	4	7	14	19	20	20	20	20	20	20	20
Haifa	c	0	1	2	3	9	13	14	14	14	14	15	15	15
Haifa	d	0	0	1	2	8	10	16	16	17	17	17	17	17
Waverley	a	0	1	1	1	5	10	13	15	17	17	17	17	17
Waverley	b	0	1	3	5	9	14	20	20	20	20	20	20	20
Waverley	c	0	1	2	3	8	13	17	17	17	17	17	17	17
Waverley	d	0	1	4	6	7	15	20	20	20	20	20	20	20
