Salary	YrsEm	Gender
38985	18	0 
32920	15	1 
29548	5	0	 
24749	6	1	 
41889	22	0 
31528	3	0	 
38791	21	0 
39828	18	1 
28985	0	1	 
32782	0	0	 
43674	6	0	 
35467	3	1	 
29876	2	1	 
36431	9	1	 
56326	12	0 
36571	6	0	 
35468	9	1	 
26578	0	1	 
47536	15	0 
23654	0	1	 
37548	19	0 
36578	4	0	 
54679	20	1 
53234	25	0 
31425	7	1	 
39743	9	1	 
26452	1	1	 
34632	5	0	 
35631	6	0	 
46211	14	1 
34231	6	0	 
26548	5	0	 
36512	6	1	 
34869	7	1	 
41255	9	0	 
39331	9	1	 
35487	8	1	 
36487	6	0	 
68425	25	0 
69246	22	0 
65487	27	1 
48695	6	0	 
51698	18	0 
46184	20	0 
34987	9	1	 
54899	12	1 
