ID	TICKS	BROOD	ALT	YEAR	LOCATION
1	0	501	465	Y1	32
2	0	501	465	Y1	32
3	0	502	472	Y1	36
4	0	503	475	Y1	37
5	0	503	475	Y1	37
6	3	503	475	Y1	37
7	2	503	475	Y1	37
8	0	504	488	Y1	44
9	0	504	488	Y1	44
10	2	504	488	Y1	44
11	0	505	492	Y1	47
12	0	505	492	Y1	47
13	0	505	492	Y1	47
14	0	506	490	Y1	45
15	0	506	490	Y1	45
16	0	506	490	Y1	45
17	0	507	464	Y1	31
18	0	507	464	Y1	31
19	0	507	464	Y1	31
20	1	507	464	Y1	31
21	2	507	464	Y1	31
22	1	509	457	Y1	28
23	0	510	457	Y1	28
24	0	511	457	Y1	28
25	5	511	457	Y1	28
26	8	512	451	Y1	26
27	3	512	451	Y1	26
28	4	512	451	Y1	26
29	7	513	437	Y1	17
30	0	513	437	Y1	17
31	4	513	437	Y1	17
32	4	514	430	Y1	14
33	1	514	430	Y1	14
34	0	514	430	Y1	14
35	0	514	430	Y1	14
36	3	514	430	Y1	14
37	1	514	430	Y1	14
38	6	515	427	Y1	13
39	0	515	427	Y1	13
40	1	515	427	Y1	13
41	0	515	427	Y1	13
42	2	516	419	Y1	7
43	7	516	419	Y1	7
44	31	516	419	Y1	7
45	34	517	411	Y1	4
46	17	517	411	Y1	4
47	16	517	411	Y1	4
48	66	518	419	Y1	7
49	49	518	419	Y1	7
50	82	518	419	Y1	7
51	85	518	419	Y1	7
52	64	518	419	Y1	7
53	11	519	424	Y1	11
54	14	519	424	Y1	11
55	4	519	424	Y1	11
56	10	519	424	Y1	11
57	3	520	427	Y1	13
58	15	520	427	Y1	13
59	8	520	427	Y1	13
60	9	521	422	Y1	9
61	11	521	422	Y1	9
62	7	521	422	Y1	9
63	13	521	422	Y1	9
64	3	522	503	Y1	53
65	0	523	496	Y1	51
66	0	523	496	Y1	51
67	1	523	496	Y1	51
68	1	523	496	Y1	51
69	0	525	507	Y1	54
70	0	525	507	Y1	54
71	0	525	507	Y1	54
72	0	525	507	Y1	54
73	0	526	496	Y1	51
74	0	526	496	Y1	51
75	0	526	496	Y1	51
76	1	526	496	Y1	51
77	1	526	496	Y1	51
78	0	526	496	Y1	51
79	2	528	466	Y1	33
80	0	528	466	Y1	33
81	3	528	466	Y1	33
82	1	531	488	Y1	44
83	7	533	442	Y1	19
84	2	533	442	Y1	19
85	16	533	442	Y1	19
86	12	533	442	Y1	19
87	0	533	442	Y1	19
88	1	535	442	Y1	19
89	0	537	533	Y1	63
90	0	537	533	Y1	63
91	1	537	533	Y1	63
92	0	537	533	Y1	63
93	0	537	533	Y1	63
94	1	537	533	Y1	63
95	0	537	533	Y1	63
96	0	538	533	Y1	63
97	0	539	515	Y1	59
98	0	539	515	Y1	59
99	0	539	515	Y1	59
100	0	539	515	Y1	59
101	5	540	518	Y1	60
102	2	540	518	Y1	60
103	2	542	493	Y1	48
104	1	542	493	Y1	48
105	1	542	493	Y1	48
106	0	548	468	Y1	34
107	0	548	468	Y1	34
108	1	548	468	Y1	34
109	1	549	476	Y1	38
110	1	549	476	Y1	38
111	0	549	476	Y1	38
112	0	549	476	Y1	38
113	5	550	446	Y1	22
114	3	550	446	Y1	22
115	2	553	460	Y1	30
116	2	559	525	Y1	62
117	1	559	525	Y1	62
118	1	601	410	Y2	3
119	0	601	410	Y2	3
120	2	601	410	Y2	3
121	5	601	410	Y2	3
122	1	601	410	Y2	3
123	2	601	410	Y2	3
124	2	601	410	Y2	3
125	3	602	417	Y2	6
126	14	602	417	Y2	6
127	11	602	417	Y2	6
128	9	602	417	Y2	6
129	4	602	417	Y2	6
130	10	602	417	Y2	6
131	33	602	417	Y2	6
132	19	602	417	Y2	6
133	16	602	417	Y2	6
134	16	603	430	Y2	14
135	13	603	430	Y2	14
136	11	603	430	Y2	14
137	7	603	430	Y2	14
138	4	603	430	Y2	14
139	11	603	430	Y2	14
140	1	604	456	Y2	27
141	1	604	456	Y2	27
142	4	604	456	Y2	27
143	6	605	457	Y2	28
144	2	605	457	Y2	28
145	7	605	457	Y2	28
146	8	605	457	Y2	28
147	14	605	457	Y2	28
148	6	606	430	Y2	14
149	13	606	430	Y2	14
150	5	606	430	Y2	14
151	8	606	430	Y2	14
152	13	606	430	Y2	14
153	17	606	430	Y2	14
154	5	606	430	Y2	14
155	1	606	430	Y2	14
156	1	606	430	Y2	14
157	2	606	430	Y2	14
158	7	607	423	Y2	10
159	7	608	421	Y2	8
160	11	608	421	Y2	8
161	1	609	525	Y2	62
162	0	609	525	Y2	62
163	5	610	509	Y2	55
164	4	610	509	Y2	55
165	0	611	499	Y2	52
166	0	611	499	Y2	52
167	0	611	499	Y2	52
168	7	612	503	Y2	53
169	5	612	503	Y2	53
170	3	612	503	Y2	53
171	1	612	503	Y2	53
172	6	612	503	Y2	53
173	1	614	492	Y2	47
174	2	614	492	Y2	47
175	14	615	491	Y2	46
176	5	615	491	Y2	46
177	27	615	491	Y2	46
178	1	616	475	Y2	37
179	2	616	475	Y2	37
180	3	616	475	Y2	37
181	0	616	475	Y2	37
182	1	617	479	Y2	40
183	0	617	479	Y2	40
184	5	617	479	Y2	40
185	5	617	479	Y2	40
186	8	617	479	Y2	40
187	21	617	479	Y2	40
188	15	618	472	Y2	36
189	15	618	472	Y2	36
190	6	618	472	Y2	36
191	19	618	472	Y2	36
192	14	618	472	Y2	36
193	1	621	485	Y2	42
194	1	621	485	Y2	42
195	3	621	485	Y2	42
196	2	621	485	Y2	42
197	3	621	485	Y2	42
198	2	623	495	Y2	50
199	5	623	495	Y2	50
200	0	624	472	Y2	36
201	6	624	472	Y2	36
202	3	624	472	Y2	36
203	1	625	458	Y2	29
204	0	625	458	Y2	29
205	1	625	458	Y2	29
206	6	625	458	Y2	29
207	1	625	458	Y2	29
208	85	626	449	Y2	24
209	45	626	449	Y2	24
210	68	626	449	Y2	24
211	84	626	449	Y2	24
212	50	626	449	Y2	24
213	13	628	442	Y2	19
214	1	628	442	Y2	19
215	19	629	448	Y2	23
216	26	629	448	Y2	23
217	9	629	448	Y2	23
218	2	629	448	Y2	23
219	4	629	448	Y2	23
220	3	629	448	Y2	23
221	22	630	448	Y2	23
222	32	630	448	Y2	23
223	5	631	403	Y2	1
224	21	631	403	Y2	1
225	26	631	403	Y2	1
226	13	631	403	Y2	1
227	23	631	403	Y2	1
228	42	632	411	Y2	4
229	38	632	411	Y2	4
230	61	632	411	Y2	4
231	79	632	411	Y2	4
232	39	632	411	Y2	4
233	41	632	411	Y2	4
234	15	634	415	Y2	5
235	23	634	415	Y2	5
236	14	634	415	Y2	5
237	7	635	427	Y2	13
238	24	636	424	Y2	11
239	3	638	525	Y2	62
240	1	638	525	Y2	62
241	2	640	521	Y2	61
242	1	640	521	Y2	61
243	0	640	521	Y2	61
244	3	641	518	Y2	60
245	8	641	518	Y2	60
246	1	642	495	Y2	50
247	2	642	495	Y2	50
248	0	642	495	Y2	50
249	8	643	495	Y2	50
250	3	643	495	Y2	50
251	14	643	495	Y2	50
252	16	643	495	Y2	50
253	18	643	495	Y2	50
254	11	643	495	Y2	50
255	13	643	495	Y2	50
256	6	645	460	Y2	30
257	7	645	460	Y2	30
258	10	645	460	Y2	30
259	5	647	442	Y2	19
260	7	647	442	Y2	19
261	25	648	443	Y2	20
262	11	648	443	Y2	20
263	6	648	443	Y2	20
264	4	648	443	Y2	20
265	7	648	443	Y2	20
266	4	650	425	Y2	12
267	6	650	425	Y2	12
268	2	650	425	Y2	12
269	5	651	439	Y2	18
270	3	651	439	Y2	18
271	7	651	439	Y2	18
272	3	652	444	Y2	21
273	1	701	450	Y3	25
274	4	701	450	Y3	25
275	4	701	450	Y3	25
276	2	701	450	Y3	25
277	5	701	450	Y3	25
278	3	702	446	Y3	22
279	0	702	446	Y3	22
280	3	702	446	Y3	22
281	1	702	446	Y3	22
282	2	702	446	Y3	22
283	3	702	446	Y3	22
284	1	704	472	Y3	36
285	0	704	472	Y3	36
286	4	704	472	Y3	36
287	0	704	472	Y3	36
288	0	704	472	Y3	36
289	0	705	472	Y3	36
290	0	706	460	Y3	30
291	0	706	460	Y3	30
292	0	706	460	Y3	30
293	1	708	442	Y3	19
294	3	708	442	Y3	19
295	4	708	442	Y3	19
296	0	708	442	Y3	19
297	4	708	442	Y3	19
298	2	708	442	Y3	19
299	0	709	525	Y3	62
300	0	709	525	Y3	62
301	1	709	525	Y3	62
302	0	710	533	Y3	63
303	1	710	533	Y3	63
304	2	710	533	Y3	63
305	0	710	533	Y3	63
306	0	710	533	Y3	63
307	0	710	533	Y3	63
308	1	711	513	Y3	57
309	0	711	513	Y3	57
310	0	711	513	Y3	57
311	1	711	513	Y3	57
312	1	711	513	Y3	57
313	0	711	513	Y3	57
314	0	711	513	Y3	57
315	0	712	514	Y3	58
316	0	712	514	Y3	58
317	0	713	511	Y3	56
318	0	713	511	Y3	56
319	1	713	511	Y3	56
320	0	713	511	Y3	56
321	0	713	511	Y3	56
322	0	714	511	Y3	56
323	0	714	511	Y3	56
324	1	714	511	Y3	56
325	0	714	511	Y3	56
326	0	714	511	Y3	56
327	0	714	511	Y3	56
328	0	715	496	Y3	51
329	0	715	496	Y3	51
330	0	715	496	Y3	51
331	0	715	496	Y3	51
332	1	716	494	Y3	49
333	0	716	494	Y3	49
334	0	717	494	Y3	49
335	0	717	494	Y3	49
336	0	717	494	Y3	49
337	2	718	411	Y3	4
338	4	718	411	Y3	4
339	4	718	411	Y3	4
340	1	718	411	Y3	4
341	2	718	411	Y3	4
342	2	719	411	Y3	4
343	1	719	411	Y3	4
344	4	719	411	Y3	4
345	1	719	411	Y3	4
346	3	719	411	Y3	4
347	3	719	411	Y3	4
348	2	720	423	Y3	10
349	0	720	423	Y3	10
350	3	721	424	Y3	11
351	2	722	403	Y3	1
352	0	722	403	Y3	1
353	1	722	403	Y3	1
354	0	723	409	Y3	2
355	3	723	409	Y3	2
356	1	723	409	Y3	2
357	10	724	434	Y3	16
358	4	724	434	Y3	16
359	1	724	434	Y3	16
360	2	725	477	Y3	39
361	0	725	477	Y3	39
362	1	725	477	Y3	39
363	0	727	472	Y3	36
364	0	728	468	Y3	34
365	0	728	468	Y3	34
366	0	729	470	Y3	35
367	0	730	486	Y3	43
368	0	731	495	Y3	50
369	0	731	495	Y3	50
370	0	731	495	Y3	50
371	0	731	495	Y3	50
372	0	731	495	Y3	50
373	0	732	483	Y3	41
374	0	732	483	Y3	41
375	2	732	483	Y3	41
376	2	733	442	Y3	19
377	2	733	442	Y3	19
378	0	734	457	Y3	28
379	4	736	457	Y3	28
380	5	736	457	Y3	28
381	2	737	457	Y3	28
382	3	737	457	Y3	28
383	2	737	457	Y3	28
384	2	737	457	Y3	28
385	1	737	457	Y3	28
386	2	737	457	Y3	28
387	0	737	457	Y3	28
388	2	738	464	Y3	31
389	0	738	464	Y3	31
390	1	738	464	Y3	31
391	0	739	433	Y3	15
392	3	739	433	Y3	15
393	1	739	433	Y3	15
394	0	739	433	Y3	15
395	0	740	442	Y3	19
396	0	740	442	Y3	19
397	0	741	433	Y3	15
398	1	741	433	Y3	15
399	0	741	433	Y3	15
400	0	742	430	Y3	14
401	0	742	430	Y3	14
402	2	743	450	Y3	25
403	0	743	450	Y3	25
