Tree Treatment Time resp
1 A  4  37.2
1 A  6  43.2
1 A  8  45.5
1 A 10  46.7
1 A 12  63.8
1 A 14  67.0
1 A 16  73.7
2 A  4  39.1
2 A  6  39.9
2 A  8  35.5
2 A 10  47.2
2 A 12  48.8
2 A 14  48.9
2 A 16  61.6
3 A  4  41.8
3 A  6  50.4
3 A  8  50.8
3 A 10  53.5
3 A 12  63.7
3 A 14  70.7
3 A 16  76.5
4 A  4  43.4
4 A  6  50.7
4 A  8  59.9
4 A 10  67.6
4 A 12  77.6
4 A 14  94.7
4 A 16  93.4
5 A  4  31.5
5 A  6  31.3
5 A  8  36.2
5 A 10  36.1
5 A 12  46.1
5 A 14  35.9
5 A 16  38.7
6 A  4  47.9
6 A  6  57.2
6 A  8  69.3
6 A 10  77.1
6 A 12  89.3
6 A 14 103.3
6 A 16 119.3
7 B  4  25.2
7 B  6  44.4
7 B  8  51.8
7 B 10  49.1
7 B 12  58.4
7 B 14  71.2
7 B 16  73.0
8 B  4  44.9
8 B  6  52.1
8 B  8  58.6
8 B 10  71.5
8 B 12  84.7
8 B 14  95.9
8 B 16 101.4
9 B  4  36.9
9 B  6  42.3
9 B  8  62.9
9 B 10  69.8
9 B 12  76.3
9 B 14  84.0
9 B 16 103.2
10 B  4  38.2
10 B  6  47.0
10 B  8  60.1
10 B 10  69.7
10 B 12  79.1
10 B 14  82.8
10 B 16  93.3
11 B  4  38.2
11 B  6  35.1
11 B  8  39.5
11 B 10  46.6
11 B 12  48.3
11 B 14  44.2
11 B 16  56.0
12 B  4  42.7
12 B  6  42.3
12 B  8  57.0
12 B 10  69.8
12 B 12  87.0
12 B 14  95.1
12 B 16 106.7
13 C  4  33.4
13 C  6  53.1
13 C  8  66.6
13 C 10  77.0
13 C 12  79.9
13 C 14  93.8
13 C 16 105.9
14 C  4  47.9
14 C  6  67.9
14 C  8  80.2
14 C 10  93.0
14 C 12 100.4
14 C 14 120.3
14 C 16 133.9
15 C  4  48.9
15 C  6  70.1
15 C  8  84.4
15 C 10  90.2
15 C 12  97.4
15 C 14 113.4
15 C 16 132.2
16 C  4  33.1
16 C  6  42.4
16 C  8  54.5
16 C 10  61.4
16 C 12  68.7
16 C 14  79.2
16 C 16  87.9
17 C  4  44.7
17 C  6  58.5
17 C  8  71.8
17 C 10  85.8
17 C 12 104.7
17 C 14 109.8
17 C 16 127.6
18 C  4  44.1
18 C  6  46.6
18 C  8  67.7
18 C 10  66.3
18 C 12  76.7
18 C 14  82.6
18 C 16 103.7
19 D  4  52.1
19 D  6  70.3
19 D  8  85.6
19 D 10  92.4
19 D 12 110.9
19 D 14 128.5
19 D 16 142.7
20 D  4  46.5
20 D  6  59.1
20 D  8  71.6
20 D 10  82.3
20 D 12  93.5
20 D 14 114.0
20 D 16 123.7
21 D  4  47.5
21 D  6  50.1
21 D  8  64.5
21 D 10  78.1
21 D 12  86.5
21 D 14 100.2
21 D 16 111.9
22 D  4  21.3
22 D  6  32.3
22 D  8  36.3
22 D 10  50.7
22 D 12  53.2
22 D 14  62.2
22 D 16  69.6
23 D  4  60.2
23 D  6  74.7
23 D  8  88.8
23 D 10 100.1
23 D 12 121.3
23 D 14 134.8
23 D 16 155.4
24 D  4  42.1
24 D  6  45.1
24 D  8  60.5
24 D 10  69.5
24 D 12  86.2
24 D 14  96.9
24 D 16 102.7
