 repl plants leaves   ca
    1     1    1 3.28
    1     1    2 3.52
    1     1    3 2.88
    1     2    1 2.46
    1     2    2 1.87
    1     2    3 2.19
    1     3    1 2.77
    1     3    2 3.74
    1     3    3 2.55
    1     4    1 3.78
    1     4    2 4.07
    1     4    3 3.31
    2     1    1 3.09
    2     1    2 3.48
    2     1    3 2.80
    2     2    1 2.44
    2     2    2 1.92
    2     2    3 2.19
    2     3    1 2.66
    2     3    2 3.44
    2     3    3 2.55
    2     4    1 3.87
    2     4    2 4.12
    2     4    3 3.31
