"Test" "Group" "Subj" "eAP" "eML" "dAP" "dML" "dTot" "dSmth" "GT" "eTot" "test"
"1" "teoh" "W" "ah" 160.235333 329.829 303.4 418.53 567.46 77.91 "W.teoh" 490.06433 1
"2" "tech" "W" "ah" 119.815667 728.962 312.68 454.83 603 155.15 "W.tech" 848.77767 2
"3" "tvch" "W" "ah" 67.215 172.448 289.49 397.71 541.86 58.36 "W.tvch" 239.663 3
"4" "teof" "W" "ah" 521.530333 321.41367 305.09 311.61 480.71 103.72 "W.teof" 842.944 4
"5" "tecf" "W" "ah" 297.657667 560.57 320.08 361.98 536.04 163.01 "W.tecf" 858.22767 5
"6" "tvcf" "W" "ah" 958.346667 1189.97933 317.84 343.14 516.79 112.57 "W.tvcf" 2148.326 6
"7" "teoh" "W" "am" 73.124333 96.47567 294.48 407.26 550.95 59.84 "W.teoh" 169.6 1
"8" "tech" "W" "am" 91.562667 110.07667 297 409.93 557.66 61.76 "W.tech" 201.63933 2
"9" "tvch" "W" "am" 59.064333 80.063 305.3 402.09 555.84 55.79 "W.tvch" 139.12733 3
"10" "teof" "W" "am" 1040.165333 288.07667 327.28 402.27 573.02 109.64 "W.teof" 1328.242 4
"11" "tecf" "W" "am" 1683.987 2233.98833 438.1 509.14 745.43 327.56 "W.tecf" 3917.97533 5
"12" "tvcf" "W" "am" 717.846 1403.05267 359.18 448.43 632.61 221.14 "W.tvcf" 2120.89867 6
"13" "teoh" "N" "ap" 12.984333 99.37233 363.15 407.13 608.02 43.55 "N.teoh" 112.35667 1
"14" "tech" "N" "ap" 28.907 181.57967 359.17 386.4 588.95 58.03 "N.tech" 210.48667 2
"15" "tvch" "N" "ap" 7.759333 96.17567 337.47 370.38 564.77 44.75 "N.tvch" 103.935 3
"16" "teof" "N" "ap" 307.088 588.44967 372.75 468.74 659.42 132.97 "N.teof" 895.53767 4
"17" "tecf" "N" "ap" 128.175333 631.27233 356.34 447.58 634.33 127.7 "N.tecf" 759.44767 5
"18" "tvcf" "N" "ap" 159.111667 488.08667 358.11 481.73 665.79 158.55 "N.tvcf" 647.19833 6
"19" "teoh" "N" "aw" 70.422 36.357 263.99 266.87 426.08 37.52 "N.teoh" 106.779 1
"20" "tech" "N" "aw" 69.403333 44.11633 256.32 266.21 418.18 43.92 "N.tech" 113.51967 2
"21" "tvch" "N" "aw" 81.514667 39.91767 253.28 263.01 413.49 32.26 "N.tvch" 121.43233 3
"22" "teof" "N" "aw" 543.994667 152.08067 318.59 283.23 479.01 77.81 "N.teof" 696.07533 4
"23" "tecf" "N" "aw" 498.367333 658.357 334.04 302.73 508.53 83.89 "N.tecf" 1156.72433 5
"24" "tvcf" "N" "aw" 180.562 805.57833 293.61 306.94 477.87 113.07 "N.tvcf" 986.14033 6
"25" "teoh" "N" "cc" 93.53 108.524 370.9 410.15 611.68 51.55 "N.teoh" 202.054 1
"26" "tech" "N" "cc" 24.879333 87.785 298.72 382.32 534.4 41.63 "N.tech" 112.66433 2
"27" "tvch" "N" "cc" 47.052667 116.99267 305.27 376.31 536.14 42.88 "N.tvch" 164.04533 3
"28" "teof" "N" "cc" 398.234667 384.62267 317.25 452.75 606.66 78.06 "N.teof" 782.85733 4
"29" "tecf" "N" "cc" 272.642667 638.25867 358.37 549.2 721.06 104.4 "N.tecf" 910.90133 5
"30" "tvcf" "N" "cc" 850.810667 1325.062 405.44 551.23 757.23 129.18 "N.tvcf" 2175.87267 6
"31" "teoh" "W" "ce" 28.242667 179.17367 285.52 291.22 463.21 64.07 "W.teoh" 207.41633 1
"32" "tech" "W" "ce" 10.880667 127.739 283 287.7 457 66.64 "W.tech" 138.61967 2
"33" "tvch" "W" "ce" 20.375 703.693 274.7 307.3 467.48 116.34 "W.tvch" 724.068 3
"34" "teof" "W" "ce" 2922.965333 5744.71733 458.56 480.81 748.09 414.69 "W.teof" 8667.68267 4
"35" "tecf" "W" "ce" 2351.806667 3295.765 466.43 536.94 803.86 417.98 "W.tecf" 5647.57167 5
"36" "tvcf" "W" "ce" 3333.313667 5308.895 437.36 596.78 833.99 443.69 "W.tvcf" 8642.20867 6
"37" "teoh" "W" "cl" 74.722 148.83233 431.47 559.68 783.58 55.09 "W.teoh" 223.55433 1
"38" "tech" "W" "cl" 473.521 1219.929 417.14 590.38 792.89 155.59 "W.tech" 1693.45 2
"39" "tvch" "W" "cl" 94.510333 109.655 404.64 542.15 746.09 50.85 "W.tvch" 204.16533 3
