Date,Season,Year,Weekend,Weather,Temperature,Humidity,Windspeed,Casual
7/01/2011,Winter,2011,1,2,13,0.498696,11,148
29/01/2011,Winter,2011,0,1,13,0.651739,10,123
4/02/2011,Winter,2011,1,2,13,0.585217,9,88
10/02/2011,Winter,2011,1,1,12,0.437391,15,47
17/02/2011,Winter,2011,1,1,17,0.505,15,259
21/02/2011,Winter,2011,0,2,15,0.605,21,195
22/02/2011,Winter,2011,1,1,13,0.577778,13,74
27/02/2011,Winter,2011,0,1,16,0.68,8,694
28/02/2011,Winter,2011,1,2,17,0.876364,19,81
1/03/2011,Winter,2011,1,1,15,0.535,15,137
6/03/2011,Winter,2011,0,2,16,0.948261,23,114
8/03/2011,Winter,2011,1,1,15,0.420833,8,316
9/03/2011,Winter,2011,1,2,15,0.775417,15,191
16/03/2011,Winter,2011,1,2,16,0.776522,14,321
17/03/2011,Winter,2011,1,1,17,0.602917,14,424
20/03/2011,Winter,2011,0,1,16,0.47375,14,1047
22/03/2011,Spring,2011,1,1,17,0.624583,15,460
23/03/2011,Spring,2011,1,2,16,0.839565,16,203
24/03/2011,Spring,2011,1,2,15,0.805833,16,166
25/03/2011,Spring,2011,1,1,14,0.495,15,300
27/03/2011,Spring,2011,0,2,14,0.493913,12,472
28/03/2011,Spring,2011,1,1,14,0.302174,14,222
2/04/2011,Spring,2011,0,2,15,0.65375,13,898
4/04/2011,Spring,2011,1,1,19,0.42625,26,734
8/04/2011,Spring,2011,1,2,16,0.83625,15,172
10/04/2011,Spring,2011,0,2,17,0.8575,10,1188
17/04/2011,Spring,2011,0,1,18,0.479583,20,1558
24/04/2011,Spring,2011,0,2,19,0.810833,13,1710
25/04/2011,Spring,2011,1,1,20,0.776667,12,773
26/04/2011,Spring,2011,1,1,20,0.729167,22,678
28/04/2011,Spring,2011,1,2,20,0.700833,22,569
2/05/2011,Spring,2011,1,2,19,0.73,12,847
5/05/2011,Spring,2011,1,1,18,0.444167,20,614
6/05/2011,Spring,2011,1,1,18,0.59,15,894
8/05/2011,Spring,2011,0,1,19,0.631667,5,1401
