"OUTDOOR" "SOCIAL" "CONSERVATIVE" "JOB" "JID"
"1" 10 22 5 1 1
"2" 14 17 6 1 2
"3" 19 33 7 1 3
"4" 14 29 12 1 4
"5" 14 25 7 1 5
"6" 20 25 12 1 6
"7" 6 18 4 1 7
"8" 13 27 7 1 8
"9" 18 31 9 1 9
"10" 16 35 13 1 10
"11" 17 25 8 1 11
"12" 10 29 11 1 12
"13" 17 25 7 1 13
"14" 10 22 13 1 14
"15" 10 31 13 1 15
"16" 18 25 5 1 16
"17" 0 27 11 1 17
"18" 10 24 12 1 18
"19" 15 23 10 1 19
"20" 8 29 14 1 20
"21" 6 27 11 1 21
"22" 10 17 8 1 22
"23" 1 30 6 1 23
"24" 14 29 7 1 24
"25" 13 21 11 1 25
"26" 21 31 11 1 26
"27" 12 26 9 1 27
"28" 12 22 9 1 28
"29" 5 25 7 1 29
"30" 10 24 5 1 30
"31" 3 20 14 1 31
"32" 6 25 12 1 32
"33" 11 27 10 1 33
"34" 13 21 14 1 34
"35" 11 23 5 1 35
"36" 8 18 8 1 36
"37" 5 17 9 1 37
"38" 11 22 11 1 38
"39" 14 22 11 1 39
"40" 22 22 6 1 40
"41" 16 28 6 1 41
"42" 12 25 8 1 42
"43" 12 25 7 1 43
"44" 15 21 4 1 44
"45" 11 28 8 1 45
"46" 11 20 9 1 46
"47" 15 19 9 1 47
"48" 15 24 7 1 48
"49" 15 21 10 1 49
"50" 17 26 7 1 50
"51" 12 28 13 1 51
"52" 7 28 12 1 52
"53" 14 12 6 1 53
"54" 22 24 6 1 54
"55" 22 27 12 1 55
"56" 18 30 9 1 56
"57" 16 18 5 1 57
"58" 12 23 4 1 58
"59" 16 22 2 1 59
"60" 15 26 9 1 60
"61" 7 13 7 1 61
"62" 6 18 6 1 62
"63" 9 24 6 1 63
"64" 9 20 12 1 64
"65" 20 28 8 1 65
"66" 5 22 15 1 66
"67" 14 26 17 1 67
"68" 8 28 12 1 68
"69" 14 22 9 1 69
"70" 15 26 4 1 70
"71" 15 25 10 1 71
"72" 14 27 6 1 72
"73" 15 25 11 1 73
"74" 11 26 9 1 74
"75" 10 28 5 1 75
"76" 7 22 10 1 76
"77" 11 15 12 1 77
"78" 14 25 15 1 78
"79" 18 28 7 1 79
"80" 14 29 8 1 80
"81" 17 20 6 1 81
"82" 13 25 14 1 82
"83" 9 21 12 1 83
"84" 13 26 13 1 84
"85" 16 24 10 1 85
"86" 20 27 6 2 1
"87" 21 15 10 2 2
"88" 15 27 12 2 3
"89" 15 29 8 2 4
"90" 11 25 11 2 5
"91" 24 9 17 2 6
"92" 18 21 13 2 7
"93" 14 18 4 2 8
"94" 13 22 12 2 9
"95" 17 21 9 2 10
"96" 16 28 13 2 11
"97" 15 22 12 2 12
"98" 24 20 15 2 13
"99" 14 19 13 2 14
"100" 14 28 1 2 15
"101" 18 17 11 2 16
"102" 14 24 7 2 17
"103" 12 16 10 2 18
"104" 16 21 10 2 19
"105" 18 19 9 2 20
"106" 19 26 7 2 21
"107" 13 20 10 2 22
"108" 28 16 10 2 23
"109" 17 19 11 2 24
"110" 24 14 7 2 25
"111" 19 23 12 2 26
"112" 22 12 8 2 27
"113" 22 21 11 2 28
"114" 21 19 9 2 29
"115" 18 24 13 2 30
"116" 23 27 11 2 31
"117" 20 23 12 2 32
"118" 19 13 7 2 33
"119" 17 28 13 2 34
"120" 20 24 5 2 35
"121" 21 23 11 2 36
"122" 17 21 15 2 37
"123" 11 25 12 2 38
"124" 14 19 14 2 39
"125" 18 24 5 2 40
"126" 13 14 7 2 41
"127" 22 18 16 2 42
"128" 25 17 13 2 43
"129" 19 25 13 2 44
"130" 20 20 9 2 45
"131" 21 25 11 2 46
"132" 17 24 11 2 47
"133" 18 26 10 2 48
"134" 21 29 11 2 49
"135" 17 21 12 2 50
"136" 17 19 12 2 51
"137" 17 16 6 2 52
"138" 16 22 5 2 53
"139" 22 19 10 2 54
"140" 19 23 12 2 55
"141" 16 23 9 2 56
"142" 18 27 11 2 57
"143" 21 24 12 2 58
"144" 15 22 13 2 59
"145" 19 26 12 2 60
"146" 14 17 11 2 61
"147" 15 23 7 2 62
"148" 23 20 16 2 63
"149" 22 26 15 2 64
"150" 13 16 11 2 65
"151" 25 29 11 2 66
"152" 23 24 7 2 67
"153" 17 29 9 2 68
"154" 21 19 7 2 69
"155" 15 13 6 2 70
"156" 19 27 14 2 71
"157" 22 24 14 2 72
"158" 17 18 8 2 73
"159" 21 19 8 2 74
"160" 24 18 13 2 75
"161" 21 12 9 2 76
"162" 15 17 8 2 77
"163" 24 22 14 2 78
"164" 19 19 7 2 79
"165" 23 16 10 2 80
"166" 21 29 12 2 81
"167" 20 19 11 2 82
"168" 18 28 0 2 83
"169" 23 21 16 2 84
"170" 17 17 8 2 85
"171" 17 24 5 2 86
"172" 17 18 15 2 87
"173" 17 23 10 2 88
"174" 19 15 10 2 89
"175" 17 20 8 2 90
"176" 25 20 8 2 91
"177" 16 19 8 2 92
"178" 19 16 6 2 93
"179" 19 19 16 3 1
"180" 17 17 12 3 2
"181" 8 17 14 3 3
"182" 13 20 16 3 4
"183" 14 18 4 3 5
"184" 17 12 13 3 6
"185" 17 12 17 3 7
"186" 14 21 16 3 8
"187" 19 18 12 3 9
"188" 18 16 15 3 10
"189" 15 14 17 3 11
